,aid,date,event,gender,gradeLevel,meet,result,state
0,3634329,2011-Mar-12,800 Meters,m,11th Grade,Running with the Devils,2:28.19,GA
1,3634329,2011-Mar-15,800 Meters,m,11th Grade,Gainesville/Hart Co/Jefferson,2:24.88,GA
2,3634329,2011-Apr-22,800 Meters,m,11th Grade,Region 8-AAA Boys Championships,2:24.10,GA
3,3634329,2011-Mar-12,1600 Meters,m,11th Grade,Running with the Devils,5:28.62,GA
4,3634329,2011-Mar-15,1600 Meters,m,11th Grade,Gainesville/Hart Co/Jefferson,5:24.70,GA
5,3634329,2011-Apr-22,1600 Meters,m,11th Grade,Region 8-AAA Boys Championships,5:25.25,GA
6,3634329,2011-Apr-16,DMR 1200-400-800-1600m,m,11th Grade,"Jefferson RelaysEric Aguirre, Joseph Funk, Andrew Bagwell, Brandon Singh",13:09.61,GA
7,805006,2009-Apr-8,800 Meters,m,12th Grade,Episcopal Class Challenge,2:17.41,FL
8,805006,2009-Apr-8,1600 Meters,m,12th Grade,Episcopal Class Challenge,4:58.45,FL
9,805006,2009-Apr-16,3200 Meters,m,12th Grade,FHSAA 2A District 4,10:56.61,FL
10,805006,2008-Apr-10,3200 Meters,m,11th Grade,2A District 4,11:11.58SR,FL
11,10273741,2016-Jun-16,800 Meters,m,Age 11-12,USATF Gulf Association Junior Olympics Championships,2:51.09,TX
12,610752,2010-Mar-26,800 Meters,f,12th Grade,Doddridge Season Opener,2:47.5hSR,WV
13,610752,2010-Apr-3,800 Meters,f,12th Grade,Doddridge Home Meet,2:48.90,WV
14,610752,2010-Mar-20,1600 Meters,f,12th Grade,Richie County Tri Meet,6:05.57SR,WV
15,610752,2010-Apr-24,"300m Hurdles - 30""",f,12th Grade,Cline Stansberry Invitational,55.79,WV
16,610752,2010-Mar-20,4x55 Shuttle Hurdles,f,12th Grade,"Richie County Tri MeetHolly Curtis, Julia Zorn, Jamie Barr, Hattie Hutson",1:17.17,WV
17,610752,2010-Mar-26,4x55 Shuttle Hurdles,f,12th Grade,"Doddridge Season OpenerHolly Curtis, Julia Zorn, Jamie Barr, Hattie Hutson",1:17.2h,WV
18,610752,2010-Apr-3,4x55 Shuttle Hurdles,f,12th Grade,"Doddridge Home MeetHolly Curtis, Julia Zorn, Jamie Barr, Hattie Hutson",1:16.00,WV
19,610752,2010-Apr-10,4x55 Shuttle Hurdles,f,12th Grade,"Chup Robinson Memorial Holly Curtis, Jamie Barr, Chelsea Williams, Hattie Hutson",1:15.03,WV
